Transaction,Purchase_Date,Customer_ID,Gender,Marital_Status,Homeowner,Children,Annual_Income,City,State_or_Province,Country,Product_Family,Product_Department,Product_Category,Units_Sold,Revenue
1,12/18/2011,7223,F,S,Y,2,$30K - $50K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,5,$27.38
2,12/20/2011,7841,M,M,Y,5,$70K - $90K,Los Angeles,CA,USA,Food,Produce,Vegetables,5,$14.90
3,12/21/2011,8374,F,M,N,2,$50K - $70K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,3,$5.52
4,12/21/2011,9619,M,M,Y,3,$30K - $50K,Portland,OR,USA,Food,Snacks,Candy,4,$4.44
5,12/22/2011,1900,F,S,Y,3,$130K - $150K,Beverly Hills,CA,USA,Drink,Beverages,Carbonated Beverages,4,$14.00
6,12/22/2011,6696,F,M,Y,3,$10K - $30K,Beverly Hills,CA,USA,Food,Deli,Side Dishes,3,$4.37
7,12/23/2011,9673,M,S,Y,2,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Breakfast Foods,4,$13.78
8,12/25/2011,354,F,M,Y,2,$150K +,Yakima,WA,USA,Food,Canned Foods,Canned Soup,6,$7.34
9,12/25/2011,1293,M,M,Y,3,$10K - $30K,Bellingham,WA,USA,Non-Consumable,Household,Cleaning Supplies,1,$2.41
10,12/25/2011,7938,M,S,N,1,$50K - $70K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Pain Relievers,2,$8.96
11,12/26/2011,9357,F,M,N,0,$30K - $50K,Beverly Hills,CA,USA,Food,Snack Foods,Snack Foods,3,$11.82
12,12/26/2011,3097,M,M,Y,1,$30K - $50K,Beverly Hills,CA,USA,Food,Baking Goods,Baking Goods,5,$14.45
13,12/26/2011,2741,M,S,N,3,$70K - $90K,Bellingham,WA,USA,Food,Canned Foods,Canned Tuna,4,$19.18
14,12/26/2011,2032,F,M,N,3,$10K - $30K,Yakima,WA,USA,Non-Consumable,Household,Plastic Products,4,$19.50
15,12/27/2011,6651,M,S,N,0,$30K - $50K,Portland,OR,USA,Food,Produce,Fruit,5,$13.06
16,12/27/2011,5230,M,M,Y,3,$30K - $50K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Hygiene,5,$12.42
17,12/27/2011,6161,F,S,N,1,$10K - $30K,Tacoma,WA,USA,Food,Frozen Foods,Meat,5,$17.65
18,12/28/2011,5717,F,S,N,0,$30K - $50K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,3,$8.74
19,12/28/2011,354,F,M,Y,2,$150K +,Yakima,WA,USA,Drink,Dairy,Dairy,5,$7.75
20,12/28/2011,3458,F,S,N,5,$10K - $30K,San Diego,CA,USA,Drink,Beverages,Drinks,5,$6.66
21,12/29/2011,1906,M,M,Y,1,$50K - $70K,Beverly Hills,CA,USA,Non-Consumable,Periodicals,Magazines,4,$17.92
22,12/29/2011,20,F,S,Y,2,$10K - $30K,San Diego,CA,USA,Food,Produce,Fruit,5,$12.64
23,12/29/2011,9795,M,S,N,2,$70K - $90K,Portland,OR,USA,Food,Snacks,Candy,5,$14.48
24,12/29/2011,4543,F,M,Y,4,$10K - $30K,Salem,OR,USA,Food,Deli,Meat,4,$4.21
25,12/29/2011,3386,F,M,Y,4,$30K - $50K,San Diego,CA,USA,Drink,Alcoholic Beverages,Beer and Wine,4,$14.78
26,12/30/2011,5005,M,M,N,2,$30K - $50K,San Francisco,CA,USA,Food,Produce,Fruit,2,$4.49
27,12/30/2011,1918,F,M,N,0,$30K - $50K,Beverly Hills,CA,USA,Food,Baking Goods,Baking Goods,5,$13.41
28,12/30/2011,5801,M,S,N,2,$50K - $70K,San Diego,CA,USA,Non-Consumable,Checkout,Hardware,5,$3.42
