"Time","Max Air Quality Index Los Angeles California Max AQI
"
"20090507",47
"20090501",53
"20090425",36
"20090419",36
"20090413",55
"20090407",39
"20090401",54
"20090331",64
"20090330",51
"20090329",54
"20090328",74
"20090327",49
"20090326",63
"20090325",54
"20090324",46
"20090323",49
"20090322",46
"20090321",45
"20090320",105
"20090319",67
"20090318",42
"20090317",37
"20090316",36
"20090315",44
"20090314",69
"20090313",48
"20090312",51
"20090311",46
"20090310",47
"20090309",41
"20090308",49
"20090307",45
"20090306",40
"20090305",40
"20090304",37
"20090303",42
"20090302",39
"20090301",45
"20090228",42
"20090227",40
"20090226",39
"20090225",38
"20090224",38
"20090223",27
"20090222",20
"20090221",33
"20090220",36
"20090219",37
"20090218",36
"20090217",36
"20090216",36
"20090215",32
"20090214",36
"20090213",32
"20090212",36
"20090211",32
"20090210",29
"20090209",32
"20090208",33
"20090207",31
"20090206",33
"20090205",31
"20090204",39
"20090203",31
"20090202",34
"20090201",36
"20090131",33
"20090130",36
"20090129",42
"20090128",36
"20090127",35
"20090126",33
"20090125",36
"20090124",25
"20090123",20
"20090122",22
"20090121",24
"20090120",31
"20090119",44
"20090118",36
"20090117",32
"20090116",43
"20090115",52
"20090114",39
"20090113",65
"20090112",42
"20090111",39
"20090110",49
"20090109",36
"20090108",31
"20090107",84
"20090106",25
"20090105",31
"20090104",36
"20090103",30
"20090102",36
"20090101",148
"20081231",32
"20081230",25
"20081229",25
"20081228",31
"20081227",31
"20081226",44
"20081225",33
"20081224",26
"20081223",32
"20081222",33
"20081221",33
"20081220",79
"20081219",35
"20081218",26
"20081217",31
"20081216",31
"20081215",31
"20081214",31
"20081213",32
"20081212",31
"20081211",31
"20081210",28
"20081209",34
"20081208",52
"20081207",34
"20081206",31
"20081205",32
"20081204",30
"20081203",27
"20081202",135
"20081201",30
"20081130",35
"20081129",35
"20081128",30
"20081127",27
"20081126",27
"20081125",27
"20081124",26
"20081123",39
"20081122",44
"20081121",64
"20081120",85
"20081119",33
"20081118",40
"20081117",37
"20081116",122
"20081115",40
"20081114",58
"20081113",35
"20081112",27
"20081111",28
"20081110",29
"20081109",34
"20081108",40
"20081107",31
"20081106",33
"20081105",36
"20081104",34
"20081103",31
"20081102",32
"20081101",20
"20081031",27
"20081030",43
"20081029",50
"20081028",46
"20081027",71
"20081026",127
"20081025",84
"20081024",37
"20081023",37
"20081022",42
"20081021",78
"20081020",42
"20081019",47
